,menuKind,menuName
513,찌개,순두부된장찌개
514,찌개,원조 부대찌개
515,찌개,얼큰 가지찌개
516,찌개,호박고추장찌개
517,찌개,순두부김치찌개
518,찌개,쌈장김치찌개
519,찌개,북어매운찌개
520,찌개,동태찌개
521,찌개,얼큰 두부찌개
522,찌개,새우젓비지찌개
523,찌개,명란젓비지찌개
524,찌개,백순두부찌개
525,찌개,쌈장목살찌개
526,찌개,오징어고추장찌개
527,찌개,조갯살고추장찌개
528,찌개,명란순두부찌개
529,찌개,비지찌개
530,찌개,매운닭고기찌개
531,스튜,홍토넛스튜
532,스튜,다크비프스튜
533,짜글이,대합깻잎짜글이
534,짜글이,짜글이 찌개
535,짜글이,돼지고기짜글이
536,샤브샤브,주꾸미샤브샤브
537,샤브샤브,쌈채소 샤브샤브
538,샤브샤브,쇠고기 샤브샤브
539,나베,묵은지 밀푀유나베
540,나베,삼겹살밀푀유나베
541,찜,갈비찜 치즈덮밥
542,찜,매콤가지찜
543,찜,전자레인지달걀찜
544,찜,시금치페스토 꼬막찜
545,찜,미나리 생콩가루찜
546,찜,찹쌀 마늘종찜
547,찜,갈치찜
548,찜,부추콩가루찜
549,찜,연근양송이달걀찜
550,찜,콩가루고추멸치찜
551,찜,시래기꽁치찜
552,찜,차돌박이 알배추찜
553,찜,개성식 무닭찜
554,찜,매운 갈비찜
555,찜,오이찜닭
556,찜,베이컨감자찜
557,찜,콜라찜닭
558,찜,바지락찜
559,찜,굴 콩나물찜
560,찜,대패삼겹살숙주찜
561,찜,간장 새우찜
562,찜,콩나물 꽃게찜
563,찜,오만둥이콩나물찜
564,찜,밥달걀찜
565,찜,등갈비 묵은지찜
566,찜,양파삼겹살찜
567,찜,조개콩나물찜
568,찜,등갈비찜
569,찜,꽈리고추찜
570,찜,중국식 생선찜
571,찜,삼겹살묵은지찜
572,찜,매운 톳떡찜
573,찜,시금치달걀찜
574,찜,토마토찜닭
575,찜,삼치양념찜
576,찜,매운 황태닭찜
577,찜,조기찜
578,찜,낙지갈비찜
579,찜,미나리달걀찜
580,찜,해물찜
581,찜,마소스 가자미찜
582,찜,순대버섯 콩나물찜
583,찜,돼지고기김치찜
584,훠궈,훠궈 물꼬치
585,밀푀유나베,묵은지 밀푀유나베
586,밀푀유나베,삼겹살밀푀유나베
587,우동,조개젓 나가사키 우동
588,우동,얼큰 김치우동
589,우동,간장볶음우동
590,우동,쇠고기볶음우동
591,라면,해물쟁반 짜장라면
592,짬뽕,돼지고기짬뽕국
593,짬뽕,굴짬뽕만둣국
594,짬뽕,나가사키 짬뽕
595,냉면,중화냉면
596,파스타,오렌지크림소스파스타
597,파스타,꽈리고추 버섯크림파스타
598,수제비,감자버섯수제비
599,수제비,조개탕 수제비
600,말이,묵은지말이 참치김밥
601,말이,시금치베이컨밥말이
602,말이,달걀말이밥
603,말이,옥수수애호박달걀말이
604,말이,감자채볶음 & 대왕 달걀말이
605,말이,양상추 명란젓말이
606,말이,포두부말이
607,말이,장어 달걀말이
608,말이,김달걀말이
609,말이,명란달걀말이
610,말이,김치치즈달걀말이
611,말이,안심말이
612,말이,파프리카 삼겹말이꼬치
613,말이,돈말이
614,말이,치즈왕달걀말이
615,조림,통조림 햄구이& 달걀볶음밥
616,조림,우엉조림 현미주먹밥
617,조림,장조림탕국
618,조림,옥수수알감자조림
619,조림,밥솥장조림
620,조림,두부 장조림
621,조림,콩나물장조림
622,조림,갈치고구마조림
623,조림,톳 김조림
624,조림,매콤 닭봉조림
625,조림,문어 장조림
626,조림,어묵 김치조림
627,조림,방울양배추 소고기조림
628,조림,닭고기가지조림
629,조림,호박양파조림
630,조림,매콤우엉조림
631,조림,땅콩조림
632,조림,닭고기달걀장조림
633,조림,매콤감자조림
634,조림,새송이장조림
