,food_name,view_count,food_cate,rec_season,rec_weather,rec_time
499,오징어볶음밥,12768,8,0,2,0
500,쌀모닝빵,4457,9,0,2,0
501,닭개장,5776,1,0,2,0
502,맛살햄계란말이,8064,7,0,2,0
503,달걀볶음밥,40307,8,0,2,0
504,동파육,121368,5,0,2,0
505,샌드,5976,4,0,2,0
506,크렌베리생크림식빵,2738,9,0,2,0
507,두부강정,67299,7,0,2,0
508,순두부찌개,284973,14,0,2,0
509,초콜릿무스,3531,12,0,2,0
510,버섯덮밥,9600,8,0,2,0
511,호두파이,11788,9,0,2,0
512,김치비빔국수,37501,6,0,2,0
513,콘샐러드,6767,10,0,2,0
514,피낭시에,2439,9,0,2,0
515,햄치즈샌드위치,35126,9,0,2,0
516,조림,18270,7,0,2,0
517,전자렌지찹쌀떡,8861,8,0,2,0
518,참외컵샐러드,11948,10,0,2,0
519,피클,7034,7,0,2,0
520,초코칩비스코티,3336,0,0,2,0
521,녹차케이크,4478,9,0,2,0
522,꿀카스테라,8352,9,0,2,0
523,바나나커피아이스크림,3256,4,0,2,0
524,초코너트쿠키,2677,0,0,2,0
525,마늘종볶음,21891,7,0,2,0
526,닭가슴살비빔국수,10347,6,0,2,0
527,마파가지,6983,7,0,2,0
528,고구마라떼,9796,15,0,2,0
529,갈비탕,13971,1,0,2,0
530,식빵치즈스틱,6038,9,0,2,0
531,팽이버섯전,6030,7,0,2,0
532,바지락부추부침개,11523,4,0,2,0
533,닭볶음탕,96791,1,0,2,0
534,참치스카치에그,38291,13,0,2,0
535,크림치즈연어야채머핀,2982,9,0,2,0
536,삼계탕,49963,1,0,2,0
537,열무김치,173523,3,0,2,0
538,에그타르트,7366,0,0,2,0
539,통밀비스코티,2285,0,0,2,0
540,애호박돼지고기찌개,59589,14,0,2,0
541,오이소박이,107962,3,0,2,0
542,소세지빵,6599,9,0,2,0
543,두부계란구이,47024,4,0,2,0
544,까망베르복숭아케이크,2632,9,0,2,0
545,플레인스콘,5690,9,0,2,0
546,감자베이컨햄말이,6083,5,0,2,0
547,메추리알치즈구이,4223,4,0,2,0
548,군만두계란말이,8628,7,0,2,0
549,햄깻잎계란말이,14747,7,0,2,0
550,코코넛새우튀김,6479,4,0,2,0
551,삼치데리야끼,13277,5,0,2,0
552,표고버섯해물스파게티,5162,6,0,2,0
553,호박볶음,5505,7,0,2,0
554,닭가슴살,74721,7,0,2,0
555,블루베리요거트아이스크림,9199,4,0,2,0
556,양파피클,30827,7,0,2,0
557,어묵무침,5184,7,0,2,0
558,초코쉬폰케익,2866,9,0,2,0
559,플레인요구르트,3303,9,0,2,0
560,감자스프,7242,11,0,2,0
561,소세지야채볶음,31990,7,0,2,0
562,머핀,1860,9,0,2,0
563,감자전,311851,7,0,2,0
564,닭다리양념구이,30056,5,0,2,0
565,무화과 오트밀 쿠키오트밀쿠키,2968,0,0,2,0
566,키위머핀,1721,9,0,2,0
567,해물볶음우동,37116,6,0,2,0
568,마론치즈케이크,2296,9,0,2,0
569,양파계란샌드위치,8207,9,0,2,0
570,애호박들깨볶음,6358,7,0,2,0
571,마늘쫑두반장볶음,5898,7,0,2,0
572,매실,15723,12,0,2,0
573,오징어김밥말이,7310,8,0,2,0
574,오색계란말이,7064,7,0,2,0
