food_name,view_count,food_cate,rec_season,rec_weather,rec_time
티라미스,6091,빵,겨울,비,저녁
김치볶음밥그라탕,5862,양식,겨울,비,저녁
뮈슬리크런치쿠키,2333,과자,겨울,비,저녁
닭가슴살양파샌드위치,16259,빵,겨울,비,저녁
상추겉절이,32432,김치/젓갈/장류,겨울,비,저녁
새우달래전,6466,메인반찬,겨울,비,저녁
딸기생크림케이크,6434,빵,겨울,비,저녁
초콜렛,41423,디저트,겨울,비,저녁
뼈다귀감자탕,38798,국/탕,겨울,비,저녁
묵은지유부초밥,15065,밥/죽/떡,겨울,비,저녁
모시조개순두부탕,38234,국/탕,겨울,눈,저녁
바나나쨈,4175,양념/소스/잼,겨울,눈,저녁
허브빵,2338,빵,겨울,눈,저녁
돼지고기보쌈,9332,메인반찬,겨울,눈,저녁
미트볼야채조림,19564,메인반찬,겨울,눈,저녁
또띠아피자,7634,빵,겨울,눈,저녁
고추잡채,32896,메인반찬,겨울,눈,저녁
토마토스파게티,10397,면/만두,겨울,눈,저녁
수플레치즈케이크,3895,빵,겨울,눈,저녁
초코쉬폰,3914,빵,겨울,눈,저녁
오렌지갈레트,3783,빵,겨울,눈,저녁
오코노미야끼,14188,디저트,겨울,눈,저녁
부추전,117651,밑반찬,겨울,눈,저녁
떡갈비,5957,메인반찬,겨울,눈,저녁
도넛,12179,빵,겨울,눈,저녁
쿠키,3890,과자,겨울,눈,저녁
오징어토마토덮밥,5754,밥/죽/떡,여름,눈,저녁
양파감자스프,19574,스프,겨울,눈,저녁
굴소스짜장볶음밥,10204,밥/죽/떡,겨울,눈,아침
버섯볶음,13078,밑반찬,겨울,눈,아침
참깨베이글,2081,빵,여름,눈,아침
뚝배기달걀찜,10757,밑반찬,여름,눈,아침
크림치즈머핀,3654,빵,여름,눈,아침
마늘쫑볶음,15477,밑반찬,여름,눈,아침
굴생채,13623,밑반찬,여름,눈,아침
국밥,3488,밥/죽/떡,여름,눈,아침
크랜베리버터케이크,2129,빵,여름,눈,아침
파스타,4605,면/만두,여름,눈,아침
쥐포볶음,20131,밑반찬,여름,눈,아침
오삼불고기,4586,메인반찬,여름,눈,아침
카스테라,13688,빵,여름,눈,아침
피망잡채,13090,메인반찬,여름,눈,아침
연포탕,26072,국/탕,여름,눈,아침
소고기콩나물두부국,8769,국/탕,여름,눈,아침
고구마파이,5612,빵,여름,눈,아침
참치야채죽,16504,밥/죽/떡,여름,눈,아침
양송이버섯장조림,56092,밑반찬,여름,눈,아침
아이스크림,7726,디저트,여름,눈,아침
두부야채죽,17610,밥/죽/떡,여름,눈,아침
굴전,5698,밑반찬,여름,눈,아침
